order_id,order_date,region,product_category,sales_rep,lead_source,units_sold,unit_price,revenue,month
500001,2025-03-09,Midwest,Smart Blinds,Rep A,Canvassing,2,340.46,680.92,2025-03
500002,2025-11-20,West,Smart Blinds,Rep E,Inbound Call,4,156.0,624.0,2025-11
500003,2024-10-24,West,Outdoor Shades,Rep D,Partner,1,268.26,268.26,2024-10
500004,2024-01-30,West,Outdoor Shades,Rep A,Website,5,541.26,2706.3,2024-01
500005,2024-09-22,West,Accessories,Rep A,Canvassing,5,372.42,1862.1,2024-09
500006,2025-08-24,Midwest,Window Treatments,Rep A,Partner,4,163.09,652.36,2025-08
500007,2025-12-04,Midwest,Window Treatments,Rep A,Referral,1,592.75,592.75,2025-12
500008,2025-11-02,South,Window Treatments,Rep E,Partner,5,252.42,1262.1,2025-11
500009,2025-03-04,West,Outdoor Shades,Rep A,Inbound Call,4,504.83,2019.32,2025-03
500010,2025-02-17,South,Window Treatments,Rep C,Referral,2,968.79,1937.58,2025-02
500011,2025-06-27,West,Window Treatments,Rep D,Referral,3,1080.49,3241.47,2025-06
500012,2025-09-16,East,Smart Blinds,Rep C,Website,2,701.84,1403.68,2025-09
500013,2024-11-14,East,Window Treatments,Rep E,Referral,5,295.89,1479.45,2024-11
500014,2024-06-26,Midwest,Outdoor Shades,Rep A,Canvassing,5,647.8,3239.0,2024-06
500015,2024-03-25,West,Smart Blinds,Rep E,Partner,4,589.57,2358.28,2024-03
500016,2025-08-09,East,Window Treatments,Rep C,Inbound Call,5,142.47,712.35,2025-08
500017,2025-09-08,South,Accessories,Rep D,Canvassing,4,187.11,748.44,2025-09
500018,2025-04-17,South,Window Treatments,Rep E,Referral,3,319.6,958.8,2025-04
500019,2024-02-12,East,Window Treatments,Rep C,Website,1,381.28,381.28,2024-02
500020,2025-01-27,South,Accessories,Rep A,Website,1,134.57,134.57,2025-01
500021,2024-10-02,West,Outdoor Shades,Rep D,Website,5,284.83,1424.15,2024-10
500022,2024-12-11,South,Window Treatments,Rep E,Referral,1,847.7,847.7,2024-12
500023,2024-12-17,West,Window Treatments,Rep B,Canvassing,3,133.19,399.57,2024-12
500024,2025-01-24,West,Outdoor Shades,Rep A,Website,4,834.54,3338.16,2025-01
500025,2025-02-06,West,Smart Blinds,Rep D,Inbound Call,3,856.68,2570.04,2025-02
500026,2025-11-10,East,Outdoor Shades,Rep A,Website,2,906.64,1813.28,2025-11
500027,2025-09-04,South,Smart Blinds,Rep A,Canvassing,1,565.53,565.53,2025-09
